tracker_id,class_id,x_min,y_min,x_max,y_max
1,0,647.2096,589.0796,685.8489,632.1573
2,0,319.81216,370.25058,355.2179,410.91476
3,0,1267.4409,452.9224,1309.2882,494.094
4,0,146.33865,707.25916,188.50523,752.0123
5,0,873.42303,373.47574,914.81586,412.7398
6,0,345.5378,598.0351,388.50314,642.9772
7,0,44.756294,465.26733,84.0758,511.82928
8,0,1064.5363,451.77844,1107.2928,493.37405
9,0,234.79272,373.02005,274.38068,413.9043
10,0,969.01306,435.96243,1014.3774,477.68408
11,0,752.1849,66.365715,797.8201,109.094864
12,0,859.29767,502.7294,899.6517,543.6617
13,0,0.0,703.12225,16.377588,738.84326
14,0,582.4543,771.93835,626.8318,813.31213
15,0,246.17535,374.12427,288.9695,414.14026
16,0,911.6667,689.08026,951.74304,727.78186
17,0,860.1635,0.0,901.453,33.264225
18,0,235.88617,374.27237,287.10736,422.91394
19,0,974.92926,487.7542,1012.4263,527.6964
20,0,597.8043,286.63556,651.4411,336.73962
21,0,400.97266,62.78231,440.43478,104.73863
1,0,647.47577,589.136,685.7026,631.8316
2,0,319.87567,370.24228,355.30612,410.90045
3,0,1267.3566,452.77563,1309.1715,494.07733
6,0,345.66858,598.318,388.08054,642.2757
5,0,873.571,374.23917,914.7475,413.37268
4,0,145.92593,707.15485,188.41286,752.10284
7,0,45.020157,465.41748,83.86287,511.0599
8,0,1064.5706,451.75626,1107.2047,493.3052
9,0,232.48213,372.42,270.17053,412.75644
10,0,969.1989,436.01144,1014.30634,477.57834
12,0,859.4053,502.8644,899.60956,543.4352
13,0,0.0,703.11456,16.386194,738.71216
14,0,582.6442,771.5827,627.09094,813.09357
11,0,752.315,66.39428,797.6277,109.006546
15,0,246.42151,374.10834,288.86325,414.08115
17,0,860.15106,0.0,901.70886,33.264046
16,0,911.22003,688.7647,951.7947,727.8493
19,0,975.7709,490.76974,1010.28424,527.1124
18,0,235.73387,374.28122,286.8586,422.9756
20,0,597.9765,286.5334,651.2263,335.93152
21,0,401.3316,62.650234,440.44,104.5998
4,0,148.52481,701.9723,190.64536,745.80206
2,0,317.158,381.1597,351.0164,422.86148
1,0,648.1053,593.30365,689.0171,638.91406
3,0,1268.0931,453.0223,1309.3794,495.6333
6,0,356.01068,600.09735,397.35077,642.614
7,0,35.382874,467.60114,72.39947,508.52884
20,0,597.7054,283.16666,645.77386,326.81345
5,0,882.34033,374.6263,923.7907,415.63144
9,0,220.79422,366.22708,261.6243,408.52695
14,0,577.28723,768.5092,630.45087,813.16626
8,0,1066.3314,452.2134,1107.3865,493.98907
13,0,0.0,702.9522,15.965575,738.9484
17,0,863.2672,0.9781345,908.771,41.333084
12,0,859.644,503.71176,899.49554,543.14
15,0,247.69774,368.54724,285.1379,408.82834
16,0,911.4685,689.3517,951.6636,727.88727
10,0,975.7426,421.9754,1018.6301,466.19724
11,0,752.7992,67.74485,796.2345,109.9215
19,0,976.1953,489.3021,1010.986,526.62195
21,0,401.8814,63.39144,437.51627,100.25188
4,0,152.37312,697.19995,193.54938,737.59985
3,0,1274.9753,455.34232,1313.9364,494.57605
1,0,649.9224,595.49146,691.92346,641.9053
7,0,19.29278,449.78473,61.01706,492.0592
5,0,898.75,379.8639,940.57465,426.14783
2,0,307.92343,370.72778,347.94687,410.98956
6,0,366.15244,613.50916,406.20956,657.32794
12,0,858.9847,503.90942,900.1146,544.06805
8,0,1066.5883,451.81708,1107.4019,493.68454
10,0,981.4753,403.72318,1027.3403,445.88226
17,0,869.2033,10.070778,912.335,57.777588
16,0,910.65375,688.6372,950.9316,728.3759
13,0,0.0,702.61865,15.9874735,738.70074
11,0,750.1679,75.54642,801.4017,123.468544
9,0,207.20317,371.78818,246.94257,410.84274
20,0,599.05945,286.37122,646.2874,331.97647
21,0,397.27808,62.873672,437.71497,102.19673
19,0,974.15015,491.28476,1010.58563,528.0774
4,0,155.11696,694.8454,186.59753,728.34644
