                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 3.1959,                 4.1247,                 1.4678,                0.74214,                0.29777,                0.21558,                0.07005,                 2.3267,                 2.1633,                 1.1451,             0.00015719,             0.00015719,             0.00015719
                      2,                 2.0239,                 1.1874,                0.99833,                0.80695,                0.35921,                0.47027,                0.15688,                 1.9936,                 1.5115,                 1.0421,             0.00022021,             0.00022021,             0.00022021
                      3,                 1.8852,                0.96756,                0.97696,                0.39454,                0.59738,                0.60137,                  0.201,                 2.2219,                 1.3697,                 1.0496,             0.00017005,             0.00017005,             0.00017005
