                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.8934,                 4.0022,                 1.3111,                0.00968,                0.04737,                0.00675,                0.00175,                 2.1346,                 4.0187,                 1.0136,             0.00015719,             0.00015719,             0.00015719
                      2,                 2.0041,                 2.8397,                0.98057,                0.00968,                0.04737,                0.00675,                0.00175,                 1.9773,                 4.0191,                 1.0098,             0.00022021,             0.00022021,             0.00022021
                      3,                 1.9319,                 1.8482,                0.94596,                0.00901,                0.16579,                0.03499,                0.00637,                  1.999,                 3.9917,                 1.0117,             0.00017005,             0.00017005,             0.00017005
