                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 2.9428,                 3.2972,                 1.3427,                0.66732,                0.21053,                0.14246,                0.02909,                 2.7022,                  3.762,                 1.2051,             0.00015719,             0.00015719,             0.00015719
                      2,                  1.992,                 1.1924,                 1.0041,                 0.8151,                0.35658,                0.31878,                0.08803,                 2.4101,                 2.2838,                 1.0947,             0.00022021,             0.00022021,             0.00022021
                      3,                 1.8268,                0.97159,                0.96003,                0.54834,                0.63684,                0.61386,                0.22584,                 2.0761,                 1.4055,                 1.0329,             0.00017005,             0.00017005,             0.00017005
