                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6581,                0.93103,                 1.0063,                0.30228,                0.22694,                0.18027,                0.06109,                 2.9062,                 1.4738,                 1.5397,             0.00047596,             0.00047596,             0.00047596
                      2,                  1.218,                0.57899,                0.89844,                0.26783,                0.19191,                 0.2141,                0.07024,                 2.6805,                 1.5318,                 1.3827,             0.00063804,             0.00063804,             0.00063804
                      3,                 1.0442,                0.50806,                0.86798,                0.32378,                0.19389,                0.16719,                 0.0537,                 2.7615,                 1.4727,                 1.4427,             0.00048573,             0.00048573,             0.00048573
